Date (UTC),Country (Epicenter),Region (Epicenter),Magnitude,Type,Origin,Depth (km),Intensity (MMI / JMA),Lat,Long,Fatalities,Injuries,displaced,Impact value (D),buildings damaged,buildings destroyed,Tsunami height
04.08.2019,Iran,Kohgiluyeh & Boyer Ahmad,5.2,earthquake,tectonic,10,,30.59,50.79,0,5,,0.381,15,,--
07.08.2019,Taiwan,Yilan,6.0,earthquake,tectonic,22,,24.43,121.91,1,0,0,0.339,20,0,--
08.08.2019,Italy,South Tyrol,3.7,earthquake,tectonic,2,,45.72,11.09,0,0,0,0.004,1,0,--
08.08.2019,Turkey,Denizli,5.8,earthquake,tectonic,7,,37.92,29.60,0,81,750,1.669,868,108,--
10.08.2019,Azerbaijan,Zaqatala,4.9,earthquake,tectonic,5,,41.55,46.46,0,5,1,0.429,40,1,--
12.08.2019,Kyrgyzstan,Osh,4.6,earthquake,tectonic,20,VI,40.87,73.41,0,0,0,0.004,1,0,--
12.08.2019,Mexico,Chiapas,5.5,earthquake,tectonic,104,,15.90,-93.87,0,0,0,0.004,1,0,--
13.08.2019,Peru,Ancash,5.2,earthquake,tectonic,25,,-10.14,-77.57,0,1,25,0.455,97,8,--
16.08.2019,Iran,East Azerbaijan,4.3,earthquake,tectonic,10,,"37,972","46,559",0,0,1,0.040,5,1,--
16.08.2019,USA,Kansas,4.2,earthquake,waste water injection,5,,38.01,"-97,988",0,0,0,0.056,15,,--
18.08.2019,Myanmar,Rakhine,5.3,earthquake,tectonic,40,,"18,486","94,511",0,0,0,0.004,1,0,--
19.08.2019,India,Madhya Pradesh,1.7,EQ swarm,reservoir,,,22.71,76.27,0,0,0,0.096,20,2,--
19.08.2019,Peru,Junin,4.6,earthquake,tectonic,22,,-12.39,-75.25,0,0,0,0.189,56,1,--
20.08.2019,Indonesia,Jawa Barat,4.2,EQ swarm,tectonic,,,-6.78,106.55,0,0,,0.035,9,,--
22.08.2019,Peru,Cusco,3.6,earthquake,tectonic,9,,-13.41,-72.04,0,0,0,0.008,2,0,--
23.08.2019,Algeria,Médéa,4.0,earthquake,tectonic,,,36.37,3.44,0,5,0,0.373,10,0,--
24.08.2019,Venezuela,Lara,4.2,earthquake,tectonic,5,,10.29,-69.29,0,0,0,0.008,2,0,--
24.08.2019,United Kingdom,England,2.1,earthquake,hydraulic fracturing,2,III,"53,787","-2,962",0,0,0,0.004,1,0,--
26.08.2019,United Kingdom,England,2.9,earthquake,hydraulic fracturing,2,V,"53,787","-2,963",0,0,0,0.073,20,0,--
29.08.2019,Poland,Lower Silesia,4.1,rockburst,mining,1,,51.52,16.14,0,1,,0.098,,0,--
30.08.2019,Bosnia-Herzegowina,Tuzla,4.9,earthquake,tectonic,10,VI,"44,634","18,537",0,0,,0.038,10,,--
